,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
16301,-34.344,150.476,344.8,1.0,1.0,2019-12-21,350,Aqua,MODIS,88,6.0NRT,313.6,34.9,D
16302,-30.864,123.38600000000001,351.0,2.0,1.4,2020-01-01,510,Aqua,MODIS,93,6.0NRT,312.2,131.1,D
16303,-12.689,135.863,341.4,1.4,1.2,2019-10-14,420,Aqua,MODIS,85,6.0NRT,310.2,47.0,D
16304,-17.151,124.141,332.8,3.0,1.6,2019-11-26,1635,Aqua,MODIS,100,6.0NRT,291.1,150.4,N
16305,-35.199,149.981,311.6,1.6,1.3,2019-12-30,1445,Aqua,MODIS,47,6.0NRT,293.6,19.8,N
16306,-30.807,152.305,343.4,1.0,1.0,2019-10-27,345,Aqua,MODIS,86,6.0NRT,301.9,38.5,D
16307,-32.704,121.083,343.3,1.4,1.2,2019-12-31,605,Aqua,MODIS,85,6.0NRT,305.9,46.4,D
16308,-37.593,147.935,332.2,1.2,1.1,2019-12-21,1315,Terra,MODIS,82,6.0NRT,288.1,41.5,N
16309,-25.660999999999998,153.019,307.1,2.2,1.4,2019-12-06,1535,Aqua,MODIS,25,6.0NRT,294.4,16.4,N
16310,-29.515,149.08,332.3,1.0,1.0,2019-10-28,10,Terra,MODIS,66,6.0NRT,320.4,8.9,D
16311,-12.66,135.923,368.8,1.0,1.0,2019-10-12,435,Aqua,MODIS,100,6.0NRT,324.6,87.6,D
16312,-32.361,150.131,305.6,2.5,1.5,2019-12-15,1215,Terra,MODIS,7,6.0NRT,288.2,20.8,N
16313,-29.266,152.486,344.3,1.1,1.0,2019-11-07,2350,Terra,MODIS,90,6.0NRT,307.1,42.8,D
16314,-27.980999999999998,152.398,311.4,1.0,1.0,2019-11-08,1510,Aqua,MODIS,36,6.0NRT,293.9,9.3,N
